date,hour,NO,NO2,NOx,O3
2014-01-01,2,7,18,29,5
2014-01-01,3,,,,5
2014-01-01,4,16,23,48,
2014-01-01,5,22,25,59,4
2014-01-01,6,17,21,47,2
2014-01-01,7,20,21,51,2
2014-01-01,8,23,19,54,2
2014-01-01,9,29,18,62,4
2014-01-01,10,29,18,61,6
2014-01-01,11,48,24,98,6
2014-01-01,12,69,46,151,9
2014-01-01,13,18,31,58,24
2014-01-01,14,10,22,37,31
2014-01-01,15,9,27,41,29
2014-01-01,16,4,25,32,29
2014-01-01,17,11,33,49,12
2014-01-01,18,7,32,43,6
2014-01-01,19,5,33,41,6
2014-01-01,20,3,31,36,10
2014-01-01,21,2,25,28,11
2014-01-01,22,2,24,27,11
2014-01-01,23,2,21,25,9
2014-01-01,24,7,22,32,5
2014-01-02,1,1,15,18,10
2014-01-02,2,4,18,24,5
2014-01-02,3,,,,10
2014-01-02,4,2,18,22,
2014-01-02,5,6,17,26,2
2014-01-02,6,8,18,30,2
2014-01-02,7,3,17,21,8
2014-01-02,8,3,20,25,6
2014-01-02,9,5,23,30,8
2014-01-02,10,6,25,33,9
2014-01-02,11,7,27,38,10
2014-01-02,12,5,26,34,18
2014-01-02,13,3,19,23,28
2014-01-02,14,1,14,17,35
2014-01-02,15,1,16,19,35
2014-01-02,16,1,22,25,27
2014-01-02,17,1,23,24,26
2014-01-02,18,1,18,19,34
2014-01-02,19,1,21,23,22
2014-01-02,20,1,15,15,33
2014-01-02,21,1,13,14,27
2014-01-02,22,1,13,14,31
2014-01-02,23,1,16,17,23
2014-01-02,24,1,13,13,25
2014-01-03,1,1,13,14,28
2014-01-03,2,6,38,47,6
2014-01-03,3,,,,2
2014-01-03,4,1,34,36,
2014-01-03,5,1,36,38,4
2014-01-03,6,1,36,39,2
2014-01-03,7,1,28,30,9
2014-01-03,8,1,27,30,7
2014-01-03,9,5,28,36,6
2014-01-03,10,7,26,37,10
2014-01-03,11,9,26,40,9
2014-01-03,12,10,26,42,10
2014-01-03,13,13,28,49,9
2014-01-03,14,17,32,57,8
2014-01-03,15,16,33,58,7
2014-01-03,16,20,37,68,5
2014-01-03,17,17,37,63,2
2014-01-03,18,17,36,63,2
2014-01-03,19,20,36,67,2
2014-01-03,20,23,35,70,2
2014-01-03,21,25,34,73,2
2014-01-03,22,24,32,69,2
2014-01-03,23,22,29,63,2
2014-01-03,24,21,31,64,2
2014-01-04,1,21,30,63,2
2014-01-04,2,21,29,62,2
2014-01-04,3,,,,2
2014-01-04,4,20,31,61,
2014-01-04,5,19,28,58,2
2014-01-04,6,21,26,58,2
2014-01-04,7,23,26,61,2
2014-01-04,8,24,28,65,2
2014-01-04,9,15,34,56,2
2014-01-04,10,5,28,36,7
2014-01-04,11,16,34,59,5
2014-01-04,12,11,36,54,5
2014-01-04,13,4,28,34,9
2014-01-04,14,2,21,25,13
2014-01-04,15,1,16,18,20
2014-01-04,16,1,16,17,22
2014-01-04,17,1,16,17,22
2014-01-04,18,1,14,16,25
2014-01-04,19,1,16,16,23
2014-01-04,20,1,17,19,18
2014-01-04,21,1,18,19,17
2014-01-04,22,1,17,19,16
2014-01-04,23,1,16,17,17
2014-01-04,24,1,18,19,11
2014-01-05,1,3,22,26,10
2014-01-05,2,1,29,31,2
2014-01-05,3,,,,2
2014-01-05,4,1,31,33,
2014-01-05,5,1,27,29,2
2014-01-05,6,1,23,23,8
2014-01-05,7,1,20,21,13
2014-01-05,8,1,18,19,18
2014-01-05,9,1,15,16,34
2014-01-05,10,1,8,8,53
2014-01-05,11,1,8,9,58
2014-01-05,12,1,7,7,61
2014-01-05,13,1,7,8,54
2014-01-05,14,1,9,10,47
2014-01-05,15,3,27,31,16
2014-01-05,16,1,25,26,22
2014-01-05,17,12,35,53,6
2014-01-05,18,14,36,57,2
2014-01-05,19,15,34,57,2
2014-01-05,20,15,34,58,2
2014-01-05,21,15,32,56,2
2014-01-05,22,13,33,52,2
2014-01-05,23,10,33,48,2
2014-01-05,24,15,35,57,2
2014-01-06,1,20,36,66,2
2014-01-06,2,12,35,53,2
2014-01-06,3,,,,2
2014-01-06,4,6,32,40,
2014-01-06,5,3,27,33,4
2014-01-06,6,1,18,21,9
2014-01-06,7,10,25,41,2
2014-01-06,8,23,27,62,2
2014-01-06,9,17,24,51,2
2014-01-06,10,21,22,54,5
2014-01-06,11,30,28,74,8
2014-01-06,12,22,26,60,12
2014-01-06,13,13,23,42,21
2014-01-06,14,8,21,32,29
2014-01-06,15,4,16,22,38
2014-01-06,16,1,15,18,34
2014-01-06,17,2,22,25,19
2014-01-06,18,5,25,33,6
2014-01-06,19,5,23,31,5
2014-01-06,20,4,22,28,7
2014-01-06,21,3,17,22,9
2014-01-06,22,1,13,16,8
2014-01-06,23,3,12,17,6
2014-01-06,24,2,11,14,8
2014-01-07,1,4,11,17,7
2014-01-07,2,5,10,18,2
2014-01-07,3,,,,4
2014-01-07,4,18,20,49,
2014-01-07,5,21,21,52,2
2014-01-07,6,20,16,47,2
2014-01-07,7,34,24,76,4
2014-01-07,8,32,20,69,2
2014-01-07,9,36,21,76,4
2014-01-07,10,40,20,81,4
2014-01-07,11,49,23,98,5
2014-01-07,12,35,23,77,6
2014-01-07,13,29,29,73,6
2014-01-07,14,61,45,139,5
2014-01-07,15,28,41,83,6
2014-01-07,16,38,42,101,5
2014-01-07,17,59,41,132,4
2014-01-07,18,38,36,95,4
2014-01-07,19,25,28,66,4
2014-01-07,20,20,25,56,2
2014-01-07,21,9,21,35,2
2014-01-07,22,6,20,29,5
2014-01-07,23,2,17,20,5
2014-01-07,24,3,16,21,2
2014-01-08,1,1,15,16,6
2014-01-08,2,5,14,22,2
2014-01-08,3,,,,2
2014-01-08,4,22,25,58,
2014-01-08,5,23,23,58,2
2014-01-08,6,37,30,87,2
2014-01-08,7,30,23,69,2
2014-01-08,8,45,24,92,2
2014-01-08,9,50,33,110,2
2014-01-08,10,37,37,94,2
2014-01-08,11,51,38,116,4
2014-01-08,12,45,40,110,5
2014-01-08,13,43,40,106,5
2014-01-08,14,31,39,87,6
2014-01-08,15,33,42,93,5
2014-01-08,16,35,44,97,4
2014-01-08,17,30,41,87,2
2014-01-08,18,31,42,90,2
2014-01-08,19,34,41,94,2
2014-01-08,20,32,42,92,2
2014-01-08,21,26,44,84,2
2014-01-08,22,21,43,76,2
2014-01-08,23,19,43,73,2
2014-01-08,24,14,42,63,2
2014-01-09,1,13,37,56,2
2014-01-09,2,10,31,46,2
2014-01-09,3,,,,2
2014-01-09,4,22,45,79,
2014-01-09,5,22,42,76,2
2014-01-09,6,29,45,89,2
2014-01-09,7,30,41,88,2
2014-01-09,8,31,39,87,2
2014-01-09,9,28,41,84,2
2014-01-09,10,29,41,86,4
2014-01-09,11,30,40,86,5
2014-01-09,12,30,39,86,5
2014-01-09,13,31,39,87,5
2014-01-09,14,32,40,89,4
2014-01-09,15,42,44,108,2
2014-01-09,16,45,46,115,2
2014-01-09,17,37,43,100,2
2014-01-09,18,24,38,75,2
2014-01-09,19,31,37,85,2
2014-01-09,20,36,39,95,2
2014-01-09,21,43,39,105,2
2014-01-09,22,47,37,109,2
2014-01-09,23,45,36,105,2
2014-01-09,24,37,38,94,2
2014-01-10,1,34,36,89,2
2014-01-10,2,37,35,91,2
2014-01-10,3,,,,2
2014-01-10,4,40,38,100,
2014-01-10,5,42,38,102,2
2014-01-10,6,37,40,97,2
2014-01-10,7,23,43,78,2
2014-01-10,8,24,43,79,2
2014-01-10,9,27,45,85,2
2014-01-10,10,30,42,88,4
2014-01-10,11,32,42,91,4
2014-01-10,12,34,40,92,4
2014-01-10,13,46,41,111,2
2014-01-10,14,52,44,123,2
